timestamp,Marktpreis_deutschland,Marktpreis_Schweiz,Marktpreis_Österreich,Marktpreis_Italien_Nord,Marktpreis_Frankreich
2018-05-29,,46.59,,58.15,47.95
2018-05-30,,41.11,,63.71,45.95
2018-05-31,,47.98,,59.99,46.78
2018-06-01,,40.1,,46.6,28.69
2018-06-02,,33.92,,39.35,22.56
2018-06-03,,47.0,,57.96,45.74
2018-06-04,,50.33,,59.26,52.08
2018-06-05,,52.17,,56.28,51.29
2018-06-06,,51.7,,59.3,51.83
2018-06-07,,50.34,,59.68,49.68
2018-06-08,,41.76,,45.34,39.76
2018-06-09,,34.83,,48.13,35.57
2018-06-10,,48.14,,63.29,47.63
2018-06-11,,49.15,,58.02,48.19
2018-06-12,,47.52,,57.58,48.22
2018-06-13,,45.02,,60.32,45.93
2018-06-14,,49.54,,54.82,50.57
2018-06-15,,39.86,,52.03,38.83
2018-06-16,,27.91,,46.9,24.42
2018-06-17,,45.05,,53.57,45.58
2018-06-18,,46.59,,56.37,49.13
2018-06-19,,45.35,,60.33,47.23
2018-06-20,,41.11,,64.27,36.74
2018-06-21,,29.11,,61.95,26.0
2018-06-22,,26.47,,46.92,27.73
2018-06-23,,27.83,,48.19,30.28
2018-06-24,,47.31,,57.01,45.98
2018-06-25,,48.82,,54.71,48.74
2018-06-26,,46.66,,59.81,49.6
2018-06-27,,45.74,,59.65,45.05
2018-06-28,,45.09,,59.42,46.19
2018-06-29,,42.17,,53.58,43.52
2018-06-30,,34.18,,49.03,30.59
2018-07-01,,47.71,,55.61,52.27
2018-07-02,,50.95,,61.1,56.9
2018-07-03,,54.52,,71.95,57.29
2018-07-04,,50.29,,62.31,55.96
2018-07-05,,49.01,,62.04,51.86
2018-07-06,,40.13,,49.36,43.88
2018-07-07,,35.53,,52.82,36.39
2018-07-08,,49.01,,60.1,52.39
2018-07-09,,54.86,,65.14,52.95
2018-07-10,,54.39,,64.59,52.57
2018-07-11,,53.26,,64.27,53.31
2018-07-12,,51.34,,67.23,51.45
2018-07-13,,47.69,,55.84,48.98
2018-07-14,,46.83,,52.94,46.36
2018-07-15,,55.09,,61.73,53.7
2018-07-16,,53.66,,62.69,52.14
2018-07-17,,49.69,,67.18,50.66
2018-07-18,,52.29,,63.41,51.7
2018-07-19,,53.06,,66.43,53.54
2018-07-20,,49.85,,60.83,50.37
2018-07-21,,47.08,,47.57,46.82
2018-07-22,,53.75,,60.07,55.06
2018-07-23,,56.19,,61.09,57.23
2018-07-24,,58.22,,61.89,59.24
2018-07-25,,56.96,,64.13,60.04
2018-07-26,,54.91,,65.98,56.23
2018-07-27,,47.02,,61.31,47.35
2018-07-28,,47.48,,54.9,44.87
2018-07-29,,54.41,,70.43,55.19
2018-07-30,,56.59,,67.53,56.33
2018-07-31,,56.97,,71.3,56.3
2018-08-01,,59.22,,72.11,59.51
2018-08-02,,62.59,,71.47,63.71
2018-08-03,,53.05,,63.28,51.35
2018-08-04,,48.48,,62.5,50.96
2018-08-05,,62.31,,66.57,62.22
2018-08-06,,62.62,,68.02,63.36
2018-08-07,,57.26,,70.68,56.5
2018-08-08,,57.07,,64.08,54.71
2018-08-09,,43.88,,65.78,46.48
2018-08-10,,46.9,,57.14,48.03
2018-08-11,,47.53,,60.48,43.15
2018-08-12,,54.6,,61.77,55.99
2018-08-13,,53.7,,62.01,55.21
2018-08-14,,54.35,,61.84,52.87
2018-08-15,,56.8,,61.7,56.23
2018-08-16,,58.4,,60.36,57.93
2018-08-17,,52.17,,58.15,54.88
2018-08-18,,50.52,,58.72,49.9
2018-08-19,,58.71,,67.21,60.55
2018-08-20,,66.79,,68.28,67.36
2018-08-21,,65.08,,70.21,68.02
2018-08-22,,65.79,,68.07,67.33
2018-08-23,,62.57,,66.26,62.15
2018-08-24,,58.91,,64.99,59.24
2018-08-25,,53.98,,58.3,54.76
2018-08-26,,63.52,,64.88,60.15
2018-08-27,,68.35,,68.09,68.24
2018-08-28,,67.19,,69.26,68.3
2018-08-29,,66.1,,73.04,68.19
2018-08-30,,66.97,,71.85,66.88
2018-08-31,,62.59,,65.46,61.64
2018-09-01,,55.13,,63.51,54.39
2018-09-02,,65.85,,68.08,65.23
2018-09-03,,66.53,,69.21,66.94
2018-09-04,,66.98,,72.5,69.41
2018-09-05,,66.22,,74.26,66.96
2018-09-06,,65.31,,74.12,65.1
2018-09-07,,55.58,,68.19,58.84
2018-09-08,,52.19,,64.52,50.71
2018-09-09,,63.48,,89.44,65.74
2018-09-10,,65.4,,76.55,64.11
2018-09-11,,68.13,,88.1,68.3
2018-09-12,,69.94,,92.57,71.1
2018-09-13,,66.51,,82.92,66.25
2018-09-14,,56.33,,72.46,54.83
2018-09-15,,49.14,,65.43,47.29
2018-09-16,,64.61,,82.71,64.94
2018-09-17,,60.16,,83.11,61.84
2018-09-18,,60.85,,80.57,62.46
2018-09-19,,60.8,,81.9,62.13
2018-09-20,,54.33,,94.33,59.24
2018-09-21,,63.02,,78.32,64.95
2018-09-22,,54.33,,67.36,50.24
2018-09-23,,64.21,,80.4,65.67
2018-09-24,,67.9,,80.01,65.31
2018-09-25,,63.15,,84.29,63.64
2018-09-26,,63.19,,83.45,64.44
2018-09-27,,60.87,,76.7,61.72
2018-09-28,,59.06,,69.25,60.03
2018-09-29,,54.14,,66.07,55.75
2018-09-30,61.24,72.59,63.19,74.68,65.05
2018-10-01,42.34,75.05,49.75,79.3,66.27
2018-10-02,18.29,76.45,60.4,78.92,68.71
2018-10-03,65.15,74.88,72.76,77.24,71.5
2018-10-04,60.3,74.48,69.47,76.51,67.39
2018-10-05,57.91,68.49,58.89,79.73,59.17
2018-10-06,54.92,62.92,55.2,72.65,55.45
