date,country,market_price(€/MWh)),gCO2eq/kWh_actual,gCO2eq/kWh_baseline,gCO2eq/kWh_difference
2018-09-30,Germany,61.24,490.3438000913876,267.6370217009194,222.70677839046823
2018-10-01,Germany,42.34,350.3546332391268,267.6231307463494,82.73150249277745
2018-10-02,Germany,18.29,284.389110532906,267.6092397917794,16.779870741126615
2018-10-03,Germany,65.15,512.7355416656956,267.59534883720926,245.1401928284863
2018-10-04,Germany,60.3,489.8036686204203,267.58145788263926,222.22221073778104
2018-10-05,Germany,57.91,491.9113513113784,267.56756692806925,224.34378438330913
2018-10-06,Germany,54.92,466.16542132496687,267.5536759734992,198.61174535146768
2018-10-07,Germany,63.88,515.7065938078329,267.53978501892914,248.16680878890372
2018-10-08,Germany,71.56,535.959223631337,267.52589406435914,268.4333295669778
2018-10-09,Germany,62.17,508.0942943115247,267.5120031097891,240.58229120173564
2018-10-10,Germany,54.35,451.0758246787817,267.498112155219,183.5777125235627
2018-10-11,Germany,56.77,471.7198313516147,267.484221200649,204.23561015096567
2018-10-12,Germany,44.88,417.9062249313372,267.47033024607896,150.43589468525823
2018-10-13,Germany,28.09,346.8089167239969,267.4564392915089,79.352477432488
2018-10-14,Germany,59.45,537.6938271163224,267.4425483369389,270.2512787793835
2018-10-15,Germany,72.0,602.8152675345998,267.42865738236884,335.38661015223096
2018-10-16,Germany,70.91,594.7799411243072,267.4147664277988,327.36517469650846
2018-10-17,Germany,63.16,567.2105640441936,267.4008754732288,299.8096885709648
2018-10-18,Germany,67.61,605.4559916934587,267.3869845186587,338.0690071748
2018-10-19,Germany,59.38,567.0411704832395,267.37309356408866,299.66807691915085
2018-10-20,Germany,55.51,539.7721366657062,267.35920260951866,272.4129340561875
2018-10-21,Germany,56.13,496.3063238934108,267.3453116549486,228.96101223846222
2018-10-22,Germany,34.62,322.40636908783955,267.33142070037854,55.074948387461006
2018-10-23,Germany,44.57,361.6195918036917,267.31752974580854,94.30206205788318
2018-10-24,Germany,48.74,399.5557627099056,267.30363879123854,132.25212391866705
2018-10-25,Germany,58.53,461.1002739086069,267.2897478366684,193.81052607193845
2018-10-26,Germany,48.12,459.84089388795775,267.2758568820984,192.56503700585932
2018-10-27,Germany,43.46,425.5476566901247,267.2619659275284,158.2856907625963
2018-10-28,Germany,43.97,406.2990449719305,267.24807497295836,139.05096999897216
2018-10-29,Germany,33.67,342.1269949346487,267.2341840183883,74.89281091626037
2018-10-30,Germany,45.14,421.2202627109447,267.2202930638183,153.99996964712642
2018-10-31,Germany,47.91,493.22973241126783,267.20640210924824,226.0233303020196
2018-11-01,Germany,54.77,468.977910965528,267.1925111546782,201.7853998108498
2018-11-02,Germany,52.04,541.2766204096307,267.1786202001082,274.0980002095225
2018-11-03,Germany,47.47,530.0463648584828,267.1647292455381,262.88163561294465
2018-11-04,Germany,57.19,546.1758202740131,267.15083829096807,279.024981983045
2018-11-05,Germany,58.55,525.7774958426633,267.13694733639807,258.6405485062652
2018-11-06,Germany,56.01,509.3820354983227,267.123056381828,242.2589791164947
2018-11-07,Germany,62.87,552.106483490279,267.10916542725795,284.997318063021
2018-11-08,Germany,59.51,528.6854331807843,267.09527447268795,261.5901587080964
2018-11-09,Germany,43.07,374.8218316570876,267.0813835181179,107.74044813896973
2018-11-10,Germany,39.73,334.3120106916363,267.06749256354783,67.24451812808849
2018-11-11,Germany,54.9,485.16438102635976,267.05360160897783,218.11077941738193
2018-11-12,Germany,53.11,453.1335164460164,267.03971065440777,186.09380579160864
2018-11-13,Germany,61.87,530.5206035474571,267.0258196998377,263.4947838476194
2018-11-14,Germany,63.48,564.4129762894787,267.0119287452677,297.401047544211
2018-11-15,Germany,57.77,478.9706851067389,266.9980377906977,211.97264731604122
2018-11-16,Germany,48.21,352.03677016516303,266.9841468361276,85.05262332903544
2018-11-17,Germany,47.6,437.83391714035736,266.9702558815576,170.86366125879977
2018-11-18,Germany,48.22,369.0620257261919,266.9563649269876,102.10566079920432
2018-11-19,Germany,46.65,348.2139425456714,266.94247397241753,81.27146857325386
2018-11-20,Germany,55.36,471.1671811751128,266.9285830178475,204.2385981572653
2018-11-21,Germany,77.8,556.7391508541816,266.91469206327747,289.82445879090415
2018-11-22,Germany,80.33,592.502644220355,266.9008011087074,325.6018431116476
2018-11-23,Germany,61.95,578.8700819066105,266.88691015413735,311.98317175247314
2018-11-24,Germany,53.85,548.7998400879571,266.87301919956735,281.9268208883898
2018-11-25,Germany,73.67,531.0741988142104,266.8591282449973,264.2150705692131
2018-11-26,Germany,75.51,580.8550254153894,266.84523729042724,314.00978812496214
2018-11-27,Germany,52.99,435.13779619858127,266.83134633585723,168.30644986272404
2018-11-28,Germany,50.4,375.60117722758827,266.8174553812872,108.78372184630109
2018-11-29,Germany,57.5,445.6290315973627,266.8035644267171,178.8254671706456
2018-11-30,Germany,46.86,415.2195094925146,266.7896734721471,148.42983602036747
2018-12-01,Germany,30.2,308.46957500491993,266.77578251757706,41.693792487342876
2018-12-02,Germany,44.62,367.60253139927823,266.761891563007,100.84063983627124
2018-12-03,Germany,50.65,418.7311313879567,266.748000608437,151.98313077951968
2018-12-04,Germany,59.21,489.70388019328107,266.73410965386694,222.96977053941413
