,Date,country,import_quantity(MWh)
1042,2017-05-01,Austria,412
1043,2017-06-01,Austria,372
1044,2017-07-01,Austria,412
1045,2017-08-01,Austria,522
1046,2017-09-01,Austria,607
1047,2017-10-01,Austria,756
1048,2017-11-01,Austria,781
1049,2017-12-01,Austria,776
1050,2018-01-01,Austria,679
1051,2018-02-01,Austria,738
1052,2018-03-01,Austria,702
1053,2018-04-01,Austria,520
1054,2018-05-01,Austria,147
1055,2018-06-01,Austria,154
1056,2018-07-01,Austria,336
1057,2018-08-01,Austria,196
1058,2018-09-01,Austria,276
1059,2018-10-01,Austria,519
1060,2018-11-01,Austria,553
1061,2018-12-01,Austria,774
1062,2019-01-01,Austria,738
1063,2019-02-01,Austria,786
1064,2019-03-01,Austria,822
1065,2019-04-01,Austria,392
1066,2019-05-01,Austria,344
1067,2019-06-01,Austria,387
1068,2019-07-01,Austria,243
1069,2019-08-01,Austria,111
1070,2019-09-01,Austria,264
1071,2019-10-01,Austria,371
1072,2019-11-01,Austria,499
1073,2019-12-01,Austria,357
1074,2020-01-01,Austria,389
1075,2020-02-01,Austria,449
1076,2020-03-01,Austria,336
1077,2020-04-01,Austria,99
1078,2020-05-01,Austria,78
1079,2020-06-01,Austria,157
1080,2020-07-01,Austria,270
1081,2020-08-01,Austria,323
1082,2020-09-01,Austria,374
1083,2020-10-01,Austria,569
1084,2020-11-01,Austria,524
1085,2020-12-01,Austria,581
1086,2021-01-01,Austria,648
1087,2021-02-01,Austria,541
1088,2021-03-01,Austria,501
1089,2021-04-01,Austria,233
1090,2021-05-01,Austria,199
1091,2021-06-01,Austria,190
1092,2021-07-01,Austria,146
1093,2021-08-01,Austria,426
1094,2021-09-01,Austria,214
1095,2021-10-01,Austria,124
1096,2021-11-01,Austria,283
1097,2021-12-01,Austria,479
1098,2022-01-01,Austria,566
1099,2022-02-01,Austria,584
1100,2022-03-01,Austria,716
1101,2022-04-01,Austria,561
1102,2022-05-01,Austria,218
1103,2022-06-01,Austria,225
1104,2022-07-01,Austria,419
1105,2022-08-01,Austria,432
1106,2022-09-01,Austria,172
1107,2022-10-01,Austria,116
1108,2022-11-01,Austria,512
1109,2022-12-01,Austria,519
1110,2023-01-01,Austria,634
1111,2023-02-01,Austria,785
1112,2000-01-01,Liechtenstein,0
1113,2000-02-01,Liechtenstein,0
1114,2000-03-01,Liechtenstein,0
1115,2000-04-01,Liechtenstein,0
1116,2000-05-01,Liechtenstein,0
1117,2000-06-01,Liechtenstein,0
1118,2000-07-01,Liechtenstein,0
1119,2000-08-01,Liechtenstein,0
1120,2000-09-01,Liechtenstein,0
1121,2000-10-01,Liechtenstein,0
1122,2000-11-01,Liechtenstein,0
1123,2000-12-01,Liechtenstein,0
1124,2001-01-01,Liechtenstein,0
1125,2001-02-01,Liechtenstein,0
1126,2001-03-01,Liechtenstein,0
1127,2001-04-01,Liechtenstein,0
1128,2001-05-01,Liechtenstein,0
1129,2001-06-01,Liechtenstein,0
1130,2001-07-01,Liechtenstein,0
1131,2001-08-01,Liechtenstein,0
1132,2001-09-01,Liechtenstein,0
1133,2001-10-01,Liechtenstein,0
1134,2001-11-01,Liechtenstein,0
1135,2001-12-01,Liechtenstein,0
1136,2002-01-01,Liechtenstein,0
1137,2002-02-01,Liechtenstein,0
1138,2002-03-01,Liechtenstein,0
1139,2002-04-01,Liechtenstein,0
1140,2002-05-01,Liechtenstein,0
1141,2002-06-01,Liechtenstein,0
1142,2002-07-01,Liechtenstein,0
1143,2002-08-01,Liechtenstein,0
1144,2002-09-01,Liechtenstein,0
1145,2002-10-01,Liechtenstein,0
1146,2002-11-01,Liechtenstein,0
1147,2002-12-01,Liechtenstein,0
1148,2003-01-01,Liechtenstein,0
1149,2003-02-01,Liechtenstein,0
1150,2003-03-01,Liechtenstein,0
1151,2003-04-01,Liechtenstein,0
1152,2003-05-01,Liechtenstein,0
1153,2003-06-01,Liechtenstein,0
1154,2003-07-01,Liechtenstein,0
1155,2003-08-01,Liechtenstein,0
1156,2003-09-01,Liechtenstein,0
1157,2003-10-01,Liechtenstein,0
1158,2003-11-01,Liechtenstein,0
1159,2003-12-01,Liechtenstein,0
1160,2004-01-01,Liechtenstein,0
1161,2004-02-01,Liechtenstein,0
1162,2004-03-01,Liechtenstein,0
1163,2004-04-01,Liechtenstein,0
1164,2004-05-01,Liechtenstein,0
1165,2004-06-01,Liechtenstein,0
1166,2004-07-01,Liechtenstein,0
1167,2004-08-01,Liechtenstein,0
1168,2004-09-01,Liechtenstein,0
1169,2004-10-01,Liechtenstein,0
1170,2004-11-01,Liechtenstein,0
1171,2004-12-01,Liechtenstein,0
1172,2005-01-01,Liechtenstein,0
1173,2005-02-01,Liechtenstein,0
1174,2005-03-01,Liechtenstein,0
1175,2005-04-01,Liechtenstein,0
1176,2005-05-01,Liechtenstein,0
1177,2005-06-01,Liechtenstein,0
1178,2005-07-01,Liechtenstein,0
1179,2005-08-01,Liechtenstein,0
1180,2005-09-01,Liechtenstein,0
1181,2005-10-01,Liechtenstein,0
1182,2005-11-01,Liechtenstein,0
1183,2005-12-01,Liechtenstein,0
1184,2006-01-01,Liechtenstein,0
1185,2006-02-01,Liechtenstein,0
1186,2006-03-01,Liechtenstein,0
1187,2006-04-01,Liechtenstein,0
1188,2006-05-01,Liechtenstein,0
1189,2006-06-01,Liechtenstein,0
1190,2006-07-01,Liechtenstein,0
1191,2006-08-01,Liechtenstein,0
1192,2006-09-01,Liechtenstein,0
1193,2006-10-01,Liechtenstein,0
1194,2006-11-01,Liechtenstein,0
1195,2006-12-01,Liechtenstein,0
1196,2007-01-01,Liechtenstein,0
1197,2007-02-01,Liechtenstein,0
1198,2007-03-01,Liechtenstein,0
1199,2007-04-01,Liechtenstein,0
1200,2007-05-01,Liechtenstein,0
1201,2007-06-01,Liechtenstein,0
1202,2007-07-01,Liechtenstein,0
1203,2007-08-01,Liechtenstein,0
1204,2007-09-01,Liechtenstein,0
1205,2007-10-01,Liechtenstein,0
1206,2007-11-01,Liechtenstein,0
1207,2007-12-01,Liechtenstein,0
1208,2008-01-01,Liechtenstein,0
1209,2008-02-01,Liechtenstein,0
1210,2008-03-01,Liechtenstein,0
1211,2008-04-01,Liechtenstein,0
1212,2008-05-01,Liechtenstein,0
1213,2008-06-01,Liechtenstein,0
1214,2008-07-01,Liechtenstein,0
1215,2008-08-01,Liechtenstein,0
1216,2008-09-01,Liechtenstein,0
1217,2008-10-01,Liechtenstein,0
1218,2008-11-01,Liechtenstein,0
1219,2008-12-01,Liechtenstein,0
1220,2009-01-01,Liechtenstein,0
1221,2009-02-01,Liechtenstein,0
1222,2009-03-01,Liechtenstein,0
1223,2009-04-01,Liechtenstein,0
1224,2009-05-01,Liechtenstein,0
1225,2009-06-01,Liechtenstein,0
1226,2009-07-01,Liechtenstein,0
1227,2009-08-01,Liechtenstein,0
1228,2009-09-01,Liechtenstein,0
1229,2009-10-01,Liechtenstein,0
1230,2009-11-01,Liechtenstein,0
1231,2009-12-01,Liechtenstein,0
1232,2010-01-01,Liechtenstein,0
1233,2010-02-01,Liechtenstein,0
1234,2010-03-01,Liechtenstein,0
1235,2010-04-01,Liechtenstein,0
1236,2010-05-01,Liechtenstein,0
1237,2010-06-01,Liechtenstein,0
1238,2010-07-01,Liechtenstein,0
1239,2010-08-01,Liechtenstein,0
1240,2010-09-01,Liechtenstein,0
1241,2010-10-01,Liechtenstein,0
1242,2010-11-01,Liechtenstein,0
1243,2010-12-01,Liechtenstein,0
1244,2011-01-01,Liechtenstein,0
1245,2011-02-01,Liechtenstein,0
1246,2011-03-01,Liechtenstein,0
1247,2011-04-01,Liechtenstein,0
1248,2011-05-01,Liechtenstein,0
1249,2011-06-01,Liechtenstein,0
1250,2011-07-01,Liechtenstein,0
1251,2011-08-01,Liechtenstein,0
1252,2011-09-01,Liechtenstein,0
1253,2011-10-01,Liechtenstein,0
1254,2011-11-01,Liechtenstein,0
1255,2011-12-01,Liechtenstein,0
1256,2012-01-01,Liechtenstein,0
1257,2012-02-01,Liechtenstein,0
1258,2012-03-01,Liechtenstein,0
1259,2012-04-01,Liechtenstein,2
1260,2012-05-01,Liechtenstein,7
1261,2012-06-01,Liechtenstein,5
1262,2012-07-01,Liechtenstein,3
1263,2012-08-01,Liechtenstein,2
1264,2012-09-01,Liechtenstein,2
1265,2012-10-01,Liechtenstein,0
1266,2012-11-01,Liechtenstein,0
1267,2012-12-01,Liechtenstein,0
1268,2013-01-01,Liechtenstein,0
1269,2013-02-01,Liechtenstein,0
1270,2013-03-01,Liechtenstein,0
1271,2013-04-01,Liechtenstein,0
1272,2013-05-01,Liechtenstein,6
1273,2013-06-01,Liechtenstein,4
1274,2013-07-01,Liechtenstein,4
1275,2013-08-01,Liechtenstein,3
1276,2013-09-01,Liechtenstein,1
1277,2013-10-01,Liechtenstein,0
1278,2013-11-01,Liechtenstein,0
1279,2013-12-01,Liechtenstein,0
1280,2014-01-01,Liechtenstein,0
1281,2014-02-01,Liechtenstein,0
1282,2014-03-01,Liechtenstein,0
1283,2014-04-01,Liechtenstein,0
1284,2014-05-01,Liechtenstein,0
1285,2014-06-01,Liechtenstein,0
1286,2014-07-01,Liechtenstein,0
1287,2014-08-01,Liechtenstein,0
1288,2014-09-01,Liechtenstein,0
1289,2014-10-01,Liechtenstein,0
1290,2014-11-01,Liechtenstein,0
1291,2014-12-01,Liechtenstein,0
1292,2015-01-01,Liechtenstein,0
1293,2015-02-01,Liechtenstein,0
1294,2015-03-01,Liechtenstein,0
1295,2015-04-01,Liechtenstein,0
1296,2015-05-01,Liechtenstein,4
1297,2015-06-01,Liechtenstein,5
1298,2015-07-01,Liechtenstein,2
1299,2015-08-01,Liechtenstein,2
1300,2015-09-01,Liechtenstein,1
1301,2015-10-01,Liechtenstein,0
1302,2015-11-01,Liechtenstein,0
1303,2015-12-01,Liechtenstein,0
1304,2016-01-01,Liechtenstein,0
1305,2016-02-01,Liechtenstein,0
1306,2016-03-01,Liechtenstein,0
1307,2016-04-01,Liechtenstein,3
1308,2016-05-01,Liechtenstein,7
1309,2016-06-01,Liechtenstein,4
1310,2016-07-01,Liechtenstein,7
1311,2016-08-01,Liechtenstein,0
1312,2016-09-01,Liechtenstein,0
1313,2016-10-01,Liechtenstein,0
1314,2016-11-01,Liechtenstein,0
1315,2016-12-01,Liechtenstein,0
1316,2017-01-01,Liechtenstein,0
1317,2017-02-01,Liechtenstein,0
1318,2017-03-01,Liechtenstein,0
1319,2017-04-01,Liechtenstein,2
1320,2017-05-01,Liechtenstein,0
1321,2017-06-01,Liechtenstein,0
1322,2017-07-01,Liechtenstein,4
1323,2017-08-01,Liechtenstein,3
1324,2017-09-01,Liechtenstein,1
1325,2017-10-01,Liechtenstein,0
1326,2017-11-01,Liechtenstein,0
1327,2017-12-01,Liechtenstein,0
1328,2018-01-01,Liechtenstein,0
1329,2018-02-01,Liechtenstein,0
1330,2018-03-01,Liechtenstein,0
1331,2018-04-01,Liechtenstein,5
1332,2018-05-01,Liechtenstein,8
1333,2018-06-01,Liechtenstein,0
1334,2018-07-01,Liechtenstein,1
1335,2018-08-01,Liechtenstein,0
1336,2018-09-01,Liechtenstein,1
1337,2018-10-01,Liechtenstein,0
1338,2018-11-01,Liechtenstein,0
1339,2018-12-01,Liechtenstein,0
1340,2019-01-01,Liechtenstein,0
1341,2019-02-01,Liechtenstein,0
1342,2019-03-01,Liechtenstein,0
1343,2019-04-01,Liechtenstein,1
1344,2019-05-01,Liechtenstein,5
1345,2019-06-01,Liechtenstein,9
1346,2019-07-01,Liechtenstein,4
1347,2019-08-01,Liechtenstein,5
1348,2019-09-01,Liechtenstein,1
1349,2019-10-01,Liechtenstein,0
1350,2019-11-01,Liechtenstein,0
1351,2019-12-01,Liechtenstein,0
1352,2020-01-01,Liechtenstein,0
1353,2020-02-01,Liechtenstein,0
1354,2020-03-01,Liechtenstein,0
1355,2020-04-01,Liechtenstein,6
1356,2020-05-01,Liechtenstein,9
1357,2020-06-01,Liechtenstein,7
1358,2020-07-01,Liechtenstein,5
1359,2020-08-01,Liechtenstein,4
1360,2020-09-01,Liechtenstein,2
1361,2020-10-01,Liechtenstein,0
1362,2020-11-01,Liechtenstein,0
1363,2020-12-01,Liechtenstein,0
1364,2021-01-01,Liechtenstein,0
1365,2021-02-01,Liechtenstein,0
1366,2021-03-01,Liechtenstein,0
1367,2021-04-01,Liechtenstein,1
1368,2021-05-01,Liechtenstein,6
1369,2021-06-01,Liechtenstein,7
1370,2021-07-01,Liechtenstein,7
1371,2021-08-01,Liechtenstein,7
1372,2021-09-01,Liechtenstein,2
1373,2021-10-01,Liechtenstein,0
1374,2021-11-01,Liechtenstein,0
1375,2021-12-01,Liechtenstein,0
1376,2022-01-01,Liechtenstein,0
1377,2022-02-01,Liechtenstein,0
1378,2022-03-01,Liechtenstein,0
1379,2022-04-01,Liechtenstein,2
1380,2022-05-01,Liechtenstein,3
1381,2022-06-01,Liechtenstein,4
1382,2022-07-01,Liechtenstein,4
1383,2022-08-01,Liechtenstein,2
1384,2022-09-01,Liechtenstein,1
1385,2022-10-01,Liechtenstein,2
1386,2022-11-01,Liechtenstein,0
1387,2022-12-01,Liechtenstein,0
1388,2023-01-01,Liechtenstein,0
1389,2023-02-01,Liechtenstein,0
